,Sintering,N,M,I,T,P,N*M,N*I,N*T,N*P,M*I,M*T,M*P,I*T,I*P,T*P,N/M,N/I,N/T,N/P,M/I,M/T,M/P,T/I,T/P,P/I,N*M/I,N*M/T,N*M/P,N*I/M,N*I/T,N*I/P,N*T/M,N*T/I,N*T/P,N*P/M,N*P/I,N*P/T,M*I/T,M*I/P,M*T/I,M*T/P,M*P/I,M*P/T,I*T/M,I*T/P,I*P/M,I*P/T,T*P/M,T*P/I,N*M*I,N*M*T,N*M*P,N*I*T,N*I*P,N*T*P,M*I*T,M*I*P,M*T*P,I*T*P,N/M/I,N/M/T,N/M/P,N/I/T,N/I/P,N/T/P
24,1,2.5,89,5.5,220.3 ,8.3,222.5,13.75,550.75,20.75,489.5,19606.7,738.7,1211.65,45.65,1828.49,0.028089888,0.454545455,0.011348162,0.301204819,16.18181818,0.403994553,10.72289157,40.05454545,26.54216867,1.509090909,40.45454545,1.009986382,26.80722892,0.154494382,0.062414889,1.656626506,6.188202247,100.1363636,66.35542169,0.233146067,3.772727273,0.094189741,2.221970041,58.97590361,3564.854545,2362.253012,134.3090909,3.353154789,13.61404494,145.9819277,0.512921348,0.207217431,20.54483146,332.4527273,1223.75,49016.75,1846.75,3029.125,114.125,4571.225,107836.85,4062.85,162735.61,10056.695,0.005107252,0.000127507,0.003384324,0.002063302,0.054764513,0.001367248
25,1,0,55,6,157.2 ,9.3,0,0,0,0,330,8646,511.5,943.2,55.8,1461.96,0,0,0,0,9.166666667,0.349872774,5.913978495,26.2,16.90322581,1.55,0,0,0,0,0,0,0,0,0,0,0,0,2.099236641,35.48387097,1441,929.6774194,85.25,3.253816794,17.14909091,101.4193548,1.014545455,0.354961832,26.58109091,243.66,0,0,0,0,0,0,51876,3069,80407.8,8771.76,0,0,0,0,0,0
26,0,4.2,80,3,132.7 ,8.4,336,12.6,557.34,35.28,240,10616,672,398.1,25.2,1114.68,0.0525,1.4,0.031650339,0.5,26.66666667,0.602863602,9.523809524,44.23333333,15.79761905,2.8,112,2.532027129,40,0.1575,0.094951017,1.5,6.96675,185.78,66.35,0.441,11.76,0.265862849,1.808590806,28.57142857,3538.666667,1263.809524,224,5.064054258,4.97625,47.39285714,0.315,0.189902035,13.9335,371.56,1008,44587.2,2822.4,1672.02,105.84,4681.656,31848,2016,89174.4,3344.04,0.0175,0.000395629,0.00625,0.010550113,0.166666667,0.003767898
27,1,0,75,4,239.9 ,8.2,0,0,0,0,300,17992.5,615,959.6,32.8,1967.18,0,0,0,0,18.75,0.312630263,9.146341463,59.975,29.25609756,2.05,0,0,0,0,0,0,0,0,0,0,0,0,1.25052105,36.58536585,4498.125,2194.207317,153.75,2.563568153,12.79466667,117.0243902,0.437333333,0.136723635,26.22906667,491.795,0,0,0,0,0,0,71970,2460,147538.5,7868.72,0,0,0,0,0,0
28,1,4.8,67,5.1,193.7 ,8,321.6,24.48,929.76,38.4,341.7,12977.9,536,987.87,40.8,1549.6,0.071641791,0.941176471,0.024780589,0.6,13.1372549,0.345895715,8.375,37.98039216,24.2125,1.568627451,63.05882353,1.660299432,40.2,0.365373134,0.126381002,3.06,13.87701493,182.3058824,116.22,0.573134328,7.529411765,0.198244708,1.764068147,42.7125,2544.686275,1622.2375,105.0980392,2.76716572,14.74432836,123.48375,0.608955224,0.210635003,23.12835821,303.8431373,1640.16,62293.92,2572.8,4741.776,195.84,7438.08,66187.29,2733.6,103823.2,7902.96,0.01404741,0.00036986,0.008955224,0.004858939,0.117647059,0.003097574
29,1,0.6,74,5.8,211.0 ,7.5,44.4,3.48,126.6,4.5,429.2,15614,555,1223.8,43.5,1582.5,0.008108108,0.103448276,0.002843602,0.08,12.75862069,0.3507109,9.866666667,36.37931034,28.13333333,1.293103448,7.655172414,0.21042654,5.92,0.047027027,0.016492891,0.464,1.710810811,21.82758621,16.88,0.060810811,0.775862069,0.021327014,2.034123223,57.22666667,2692.068966,2081.866667,95.68965517,2.630331754,16.53783784,163.1733333,0.587837838,0.206161137,21.38513514,272.8448276,257.52,9368.4,333,734.28,26.1,949.5,90561.2,3219,117105,9178.5,0.00139795,3.84271E-05,0.001081081,0.000490276,0.013793103,0.000379147
30,1,1.9,59,4,150.8 ,8.1,112.1,7.6,286.52,15.39,236,8897.2,477.9,603.2,32.4,1221.48,0.03220339,0.475,0.012599469,0.234567901,14.75,0.391246684,7.283950617,37.7,18.61728395,2.025,28.025,0.7433687,13.83950617,0.128813559,0.050397878,0.938271605,4.856271186,71.63,35.37283951,0.260847458,3.8475,0.102055703,1.564986737,29.13580247,2224.3,1098.419753,119.475,3.169098143,10.22372881,74.4691358,0.549152542,0.214854111,20.70305085,305.37,448.4,16904.68,908.01,1146.08,61.56,2320.812,35588.8,1911.6,72067.32,4885.92,0.008050847,0.00021355,0.003975727,0.003149867,0.058641975,0.00155549
31,1,2.2,53,2.4,134.1 ,8.5,116.6,5.28,295.02,18.7,127.2,7107.3,450.5,321.84,20.4,1139.85,0.041509434,0.916666667,0.016405667,0.258823529,22.08333333,0.395227442,6.235294118,55.875,15.77647059,3.541666667,48.58333333,0.869500373,13.71764706,0.099622642,0.039373602,0.621176471,5.566415094,122.925,34.70823529,0.352830189,7.791666667,0.139448173,0.948545861,14.96470588,2961.375,836.1529412,187.7083333,3.359433259,6.07245283,37.86352941,0.38490566,0.15212528,21.50660377,474.9375,279.84,15636.06,991.1,708.048,44.88,2507.67,17057.52,1081.2,60412.05,2735.64,0.017295597,0.000309541,0.004883463,0.006835695,0.107843137,0.001930079
32,1,3.8,43,9.6,176.9 ,8.6,163.4,36.48,672.22,32.68,412.8,7606.7,369.8,1698.24,82.56,1521.34,0.088372093,0.395833333,0.021481063,0.441860465,4.479166667,0.243075184,5,18.42708333,20.56976744,0.895833333,17.02083333,0.923685698,19,0.848372093,0.206218202,4.241860465,15.63302326,70.02291667,78.16511628,0.76,3.404166667,0.18473714,2.333521764,48,792.3645833,884.5,38.52083333,2.09044658,39.49395349,197.4697674,1.92,0.466704353,35.38,158.4729167,1568.64,28905.46,1405.24,6453.312,313.728,5781.092,73024.32,3550.08,65417.62,14604.864,0.009205426,0.00049956,0.010275825,0.002237611,0.046027132,0.002497798
33,1,1.5,73,2,157.6 ,9.1,109.5,3,236.4,13.65,146,11504.8,664.3,315.2,18.2,1434.16,0.020547945,0.75,0.009517766,0.164835165,36.5,0.46319797,8.021978022,78.8,17.31868132,4.55,54.75,0.694796954,12.03296703,0.04109589,0.019035533,0.32967033,3.238356164,118.2,25.97802198,0.186986301,6.825,0.086611675,0.926395939,16.04395604,5752.4,1264.263736,332.15,4.215101523,4.317808219,34.63736264,0.249315068,0.115482234,19.6460274,717.08,219,17257.2,996.45,472.8,27.3,2151.24,23009.6,1328.6,104693.68,2868.32,0.010273973,0.00013038,0.002258016,0.004758883,0.082417582,0.001045908
