,xrf_5p,N,M,I,T,P,N*M,N*I,N*T,N*P,M*I,M*T,M*P,I*T,I*P,T*P,N/M,N/I,N/T,N/P,M/I,M/T,M/P,T/I,T/P,P/I,N*M/I,N*M/T,N*M/P,N*I/M,N*I/T,N*I/P,N*T/M,N*T/I,N*T/P,N*P/M,N*P/I,N*P/T,M*I/T,M*I/P,M*T/I,M*T/P,M*P/I,M*P/T,I*T/M,I*T/P,I*P/M,I*P/T,T*P/M,T*P/I,N*M*I,N*M*T,N*M*P,N*I*T,N*I*P,N*T*P,M*I*T,M*I*P,M*T*P,I*T*P,N/M/I,N/M/T,N/M/P,N/I/T,N/I/P,N/T/P,N*M*I*T,N*M*I*P,N*M*T*P,N*I*T*P,M*I*T*P,N*M*I/T,N*M/I*T,N/M*I*T,N*M/I/T,N/M*I/T,N/M/I*T,N/M/I/T,N*M*I/P,N*M/I*P,N/M*I*P,N*M/I/P,N/M*I/P,N/M/I*P,N/M/I/P,N*M*T/P,N*M/T*P,N/M*T*P,N*M/T/P,N/M*T/P,N/M/T*P,N/M/T/P,N*I*T/P,N*I/T*P,N/I*T*P,N*I/T/P,N/I*T/P,N/I/T*P,N/I/T/P,M*I*T/P,M*I/T*P,M/I*T*P,/M*I*T*P,M*I/T/P,M/I*T/P,M/I/T*P,/M*I*T/P,/M*I/T*P,/M/I*T*P,M/I/T/P,/M*I/T/P,/M/I*T/P,/M/I/T*P,N*M*I*T*P,N*M*I*T/P,N*M*I/T*P,N*M/I*T*P,N/M*I*T*P,N*M*I/T/P,N*M/I*T/P,N*M/I/T*P,N/M*I*T/P,N/M*I/T*P,N/M/I*T*P,N*M/I/T/P,N/M*I/T/P,N/M/I*T/P,N/M/I/T*P,N/M/I/T/P
38,1,2.7,88,5.3,183.9,8.3,237.6,14.31,496.53,22.41,466.4,16183.2,730.4,974.67,43.99,1526.37,0.030681818,0.509433962,0.014681892,0.325301205,16.60377358,0.478520935,10.60240964,34.69811321,22.15662651,1.566037736,44.83018868,1.292006525,28.62650602,0.162613636,0.077814029,1.724096386,5.642386364,93.68490566,59.82289157,0.254659091,4.228301887,0.121859706,2.536160957,56.19277108,3053.433962,1949.783133,137.8113208,3.971723763,11.07579545,117.4301205,0.499886364,0.23920609,17.34511364,287.9943396,1259.28,43694.64,1972.08,2631.609,118.773,4121.199,85770.96,3871.12,134320.56,8089.761,0.005789022,0.00016684,0.003696605,0.002770168,0.061377586,0.001768903,231581.592,10452.024,362665.512,21842.3547,711898.968,6.847634584,8244.271698,29.90464773,0.243774816,0.00088425,1.064601201,3.15E-05,151.7204819,372.090566,1.349693182,5.401227552,0.019592004,0.048048885,0.000697473,5264.414458,10.72365416,46.83180682,0.155663437,0.679805586,0.001384769,2.01E-05,317.0613253,0.645856444,777.584717,0.009375184,11.28733803,0.022992397,0.000333755,10333.8506,21.05013594,25343.50189,91.92910227,0.305561561,367.8836099,0.749381842,1.334433187,0.002718251,3.27266295,0.010877948,3.95E-05,0.047505631,9.68E-05,1922127.214,27901.39663,56.83536705,68427.45509,248.2085761,0.825016215,993.2857468,2.023330974,3.602969606,0.007339278,8.836189966,0.02937046,0.000106536,0.128265205,0.000261277,3.79E-06
39,1,3,79,5.3,198.9,9.2,237,15.9,596.7,27.6,418.7,15713.1,726.8,1054.17,48.76,1829.88,0.037974684,0.566037736,0.015082956,0.326086957,14.90566038,0.397184515,8.586956522,37.52830189,21.61956522,1.735849057,44.71698113,1.191553544,25.76086957,0.201265823,0.079939668,1.72826087,7.553164557,112.5849057,64.85869565,0.349367089,5.20754717,0.138763198,2.105077929,45.51086957,2964.735849,1707.945652,137.1320755,3.654097536,13.34392405,114.5836957,0.61721519,0.245148316,23.16303797,345.2603774,1256.1,47139.3,2180.4,3162.51,146.28,5489.64,83279.43,3852.04,144560.52,9698.364,0.007165035,0.000190923,0.004127683,0.002845841,0.061525841,0.001639452,249838.29,11556.12,433681.56,29095.092,766170.756,6.315233786,8894.207547,40.03177215,0.224821423,0.001011895,1.425125388,3.60E-05,136.5326087,411.3962264,1.85164557,4.860541427,0.02187672,0.065918319,0.000778808,5123.836957,10.96229261,69.48911392,0.12951669,0.820996147,0.001756496,2.08E-05,343.751087,0.735444947,1035.781132,0.008689094,12.23748975,0.026181735,0.000309331,9052.111957,19.36671694,27275.56981,122.7641013,0.228812818,322.2538966,0.689452365,1.450426527,0.003103143,4.370384524,0.008145704,3.67E-05,0.051634978,0.000110471,2298512.268,27156.33587,58.10015083,81826.70943,368.2923038,0.686438455,966.7616899,2.068357096,4.351279582,0.00930943,13.11115357,0.024437111,0.000109989,0.154904933,0.000331414,3.92E-06
40,1,1.4,74,9.5,217,9.1,103.6,13.3,303.8,12.74,703,16058,673.4,2061.5,86.45,1974.7,0.018918919,0.147368421,0.006451613,0.153846154,7.789473684,0.341013825,8.131868132,22.84210526,23.84615385,0.957894737,10.90526316,0.477419355,11.38461538,0.17972973,0.061290323,1.461538462,4.105405405,31.97894737,33.38461538,0.172162162,1.341052632,0.058709677,3.239631336,77.25274725,1690.315789,1764.615385,70.88421053,3.103225806,27.85810811,226.5384615,1.168243243,0.398387097,26.68513514,207.8631579,984.2,22481.2,942.76,2886.1,121.03,2.76E+03,152551,6397.3,146127.8,18759.65,0.001991465,8.72E-05,0.002079002,0.000679117,0.016194332,0.000708968,213571.4,8956.22,204578.92,26263.51,1388214.1,4.535483871,2366.442105,39.00135135,0.050254669,0.000828248,0.432147937,9.18E-06,108.1538462,99.23789474,1.635540541,1.198380567,0.01975052,0.018122333,0.000218842,2470.461538,4.344516129,37.35918919,0.052463665,0.451143451,0.000793374,9.58E-06,317.1538462,0.557741935,291.0084211,0.0067352,3.51417004,0.006179966,7.46E-05,16763.84615,29.48064516,15381.87368,253.5087838,0.356003444,185.7489879,0.326655348,3.061330561,0.005383609,2.808961593,0.003944636,6.50E-05,0.03392056,5.97E-05,1943499.74,23469.38462,41.27290323,21534.62316,354.9122973,0.498404821,260.048583,0.457317487,4.285862786,0.007537053,3.93254623,0.005522491,9.10E-05,0.047488784,8.35E-05,1.01E-06
41,0,0.6,83,9,192.5,7.8,49.8,5.4,115.5,4.68,747,15977.5,647.4,1732.5,70.2,1501.5,0.007228916,0.066666667,0.003116883,0.076923077,9.222222222,0.431168831,10.64102564,21.38888889,24.67948718,0.866666667,5.533333333,0.258701299,6.384615385,0.065060241,0.028051948,0.692307692,1.391566265,12.83333333,14.80769231,0.056385542,0.52,0.024311688,3.880519481,95.76923077,1775.277778,2048.397436,71.93333333,3.363116883,20.87349398,222.1153846,0.845783133,0.364675325,18.09036145,166.8333333,448.2,9586.5,388.44,1039.5,42.12,9.01E+02,143797.5,5826.6,124624.5,13513.5,0.000803213,3.76E-05,0.000926784,0.00034632,0.008547009,0.0003996,86278.5,3495.96,74774.7,8108.1,1121620.5,2.328311688,1065.166667,12.52409639,0.028744589,0.000337975,0.154618474,4.17E-06,57.46153846,43.16,0.50746988,0.709401709,0.008341057,0.00626506,0.000102976,1229.038462,2.01787013,10.85421687,0.033166833,0.178405931,0.000292912,4.81E-06,133.2692308,0.218805195,100.1,0.003596404,1.645299145,0.002701299,4.44E-05,18435.57692,30.26805195,13847.16667,162.813253,0.497502498,227.5997151,0.373679654,2.676088971,0.004393679,2.010040161,0.006142006,7.22E-05,0.033038135,5.42E-05,672972.3,11061.34615,18.16083117,8308.3,97.68795181,0.298501499,136.5598291,0.224207792,1.605653383,0.002636207,1.206024096,0.003685204,4.33E-05,0.019822881,3.25E-05,5.35E-07
42,1,3,77,6.7,232.7,7.5,231,20.1,698.1,22.5,515.9,17917.9,577.5,1559.09,50.25,1745.25,0.038961039,0.447761194,0.012892136,0.4,11.49253731,0.330898152,10.26666667,34.73134328,31.02666667,1.119402985,34.47761194,0.992694456,30.8,0.261038961,0.08637731,2.68,9.066233766,104.1940299,93.08,0.292207792,3.358208955,0.096691018,2.217017619,68.78666667,2674.313433,2389.053333,86.19402985,2.481736141,20.24792208,207.8786667,0.652597403,0.215943275,22.66558442,260.4850746,1547.7,53753.7,1732.5,4677.27,150.75,5235.75,120049.93,3869.25,134384.25,11693.175,0.00581508,0.00016743,0.005194805,0.001924199,0.059701493,0.001718951,360149.79,11607.75,403152.75,35079.525,900374.475,6.651052858,8022.940299,60.74376623,0.148163352,0.001121783,1.353169219,2.50E-05,206.36,258.5820896,1.957792208,4.597014925,0.034805195,0.043613103,0.000775344,7167.16,7.445208423,67.99675325,0.132359261,1.208831169,0.001255728,2.23E-05,623.636,0.647829824,781.4552239,0.011516975,13.89253731,0.014431495,0.00025656,16006.65733,16.62763214,20057.35075,151.8594156,0.295602349,356.5751244,0.370408379,2.699722944,0.002804458,3.382923047,0.006585038,4.99E-05,0.060140854,6.25E-05,2701123.425,48019.972,49.88289643,60172.05224,455.5782468,0.886807048,1069.725373,1.111225138,8.099168831,0.008413374,10.14876914,0.019755114,0.000149571,0.180422563,0.000187422,3.33E-06
43,0,4.7,67,7.1,138.4,8.7,314.9,33.37,650.48,40.89,475.7,9272.8,582.9,982.64,61.77,1204.08,0.070149254,0.661971831,0.033959538,0.540229885,9.436619718,0.484104046,7.701149425,19.49295775,15.90804598,1.225352113,44.35211268,2.275289017,36.1954023,0.498059701,0.241112717,3.835632184,9.708656716,91.61690141,74.76781609,0.610298507,5.75915493,0.295447977,3.437138728,54.67816092,1306.028169,1065.83908,82.09859155,4.211705202,14.66626866,112.9471264,0.921940299,0.446315029,17.97134328,169.5887324,2235.79,43582.16,2739.63,4618.408,290.319,5659.176,65836.88,4138.59,80673.36,8548.968,0.009880177,0.000506859,0.008063133,0.004783033,0.076088716,0.003903395,309433.336,19451.373,379164.792,40180.1496,572780.856,16.15455202,6138.332394,68.93146269,0.320463242,0.003598697,1.367416439,7.14E-05,256.9873563,385.8633803,4.333119403,5.097943986,0.057248242,0.085957536,0.001135652,5009.443678,19.79501445,84.46531343,0.261527473,1.115937554,0.004409671,5.83E-05,530.8514943,2.097680636,797.0670423,0.027714105,10.53067832,0.041612391,0.000549774,7567.457471,29.90310694,11362.44507,127.5965373,0.395073417,150.1181803,0.593197916,1.685778007,0.006661418,2.53117511,0.007837203,8.80E-05,0.033441341,0.000132145,2692070.023,35567.05011,140.5446026,53403.49183,599.7037254,1.85684506,705.5554476,2.788030204,7.923156631,0.031308666,11.89652302,0.036834855,0.000413643,0.157174303,0.00062108,8.21E-06
44,0,0.4,98,8.9,143.8,7.9,39.2,3.56,57.52,3.16,872.2,14092.4,774.2,1279.82,70.31,1136.02,0.004081633,0.04494382,0.002781641,0.050632911,11.01123596,0.681502086,12.40506329,16.15730337,18.20253165,0.887640449,4.404494382,0.272600834,4.962025316,0.036326531,0.024756606,0.450632911,0.586938776,6.462921348,7.281012658,0.032244898,0.35505618,0.021974965,6.065368567,110.4050633,1583.41573,1783.848101,86.98876404,5.383866481,13.05938776,162.0025316,0.71744898,0.488942976,11.59204082,127.6426966,348.88,5636.96,309.68,511.928,28.124,4.54E+02,125422.36,6890.38,111329.96,10110.578,0.00045861,2.84E-05,0.000516662,0.000312544,0.005689091,0.000352106,50168.944,2756.152,44531.984,4044.2312,990836.644,2.426147427,633.3662921,5.223755102,0.030629307,0.000252618,0.065948177,3.19E-06,44.16202532,34.79550562,0.286979592,0.557530934,0.004598295,0.003623022,5.81E-05,713.5392405,2.153546592,4.636816327,0.034506435,0.074296048,0.000224234,3.59E-06,64.80101266,0.195577191,51.05707865,0.003133748,0.81809131,0.002469097,3.96E-05,15876.2481,47.91641168,12508.98427,103.1691633,0.767768173,200.4323709,0.604928818,1.653087058,0.004989214,1.302476496,0.009692819,7.99E-05,0.020869676,6.30E-05,396334.6576,6350.499241,19.16656467,5003.593708,41.26766531,0.307107269,80.17294837,0.241971527,0.661234823,0.001995686,0.520990598,0.003877127,3.20E-05,0.008347871,2.52E-05,4.04E-07
45,0,4.9,43,8.9,193.2,9,210.7,43.61,946.68,44.1,382.7,8307.6,387,1719.48,80.1,1738.8,0.113953488,0.550561798,0.025362319,0.544444444,4.831460674,0.222567288,4.777777778,21.70786517,21.46666667,1.011235955,23.6741573,1.09057971,23.41111111,1.014186047,0.225724638,4.845555556,22.01581395,106.3685393,105.1866667,1.025581395,4.95505618,0.22826087,1.980848861,42.52222222,933.4382022,923.0666667,43.48314607,2.00310559,39.98790698,191.0533333,1.862790698,0.414596273,40.4372093,195.3707865,1875.23,40707.24,1896.3,8425.452,392.49,8520.12,73937.64,3444.3,74768.4,15475.32,0.012803763,0.000589821,0.012661499,0.002849699,0.061173533,0.002818035,362294.436,16877.07,366365.16,75829.068,665438.76,9.70615942,4573.847191,195.9407442,0.122537046,0.00524941,2.473686961,6.63E-05,208.3588889,213.0674157,9.127674419,2.630461923,0.112687339,0.115233865,0.00142264,4523.026667,9.815217391,198.1423256,0.121175523,2.44620155,0.005308392,6.55E-05,936.1613333,2.031521739,957.3168539,0.025080515,11.81872659,0.025647289,0.000316633,8215.293333,17.82763975,8400.94382,359.8911628,0.220094318,103.7153558,0.225068044,4.443100775,0.009641774,4.543506663,0.002778618,0.000119034,0.056092675,0.000121724,3260649.924,40254.93733,87.35543478,41164.62472,1763.466698,1.078462158,508.2052434,1.102833415,21.7711938,0.047244692,22.26318265,0.013615227,0.000583268,0.274854107,0.000596449,7.36E-06
46,1,2.4,80,3.7,158.1,8.2,192,8.88,379.44,19.68,296,12648,656,584.97,30.34,1296.42,0.03,0.648648649,0.015180266,0.292682927,21.62162162,0.506008855,9.756097561,42.72972973,19.2804878,2.216216216,51.89189189,1.214421252,23.41463415,0.111,0.056166983,1.082926829,4.743,102.5513514,46.27317073,0.246,5.318918919,0.124478178,1.872232764,36.09756098,3418.378378,1542.439024,177.2972973,4.149272612,7.312125,71.33780488,0.37925,0.191903858,16.20525,350.3837838,710.4,30355.2,1574.4,1403.928,72.816,3111.408,46797.6,2427.2,103713.6,4796.754,0.008108108,0.000189753,0.003658537,0.004102775,0.079103494,0.001851252,112314.24,5825.28,248912.64,11512.2096,383740.32,4.493358634,8204.108108,17.5491,0.32822196,0.000702087,1.281891892,5.13E-05,86.63414634,425.5135135,0.9102,6.328279499,0.013536585,0.066486486,0.000988794,3701.853659,9.958254269,38.8926,0.148100153,0.578414634,0.001555977,2.31E-05,171.2107317,0.46056926,840.9210811,0.006849632,12.50626236,0.033642751,0.000500338,5707.02439,15.35230867,28030.7027,59.959425,0.228321069,416.875412,1.12142503,0.891722561,0.002398798,4.379797297,0.016677945,3.57E-05,0.065136783,0.000175223,920976.768,13696.85854,36.8455408,67273.68649,143.90262,0.547970565,1000.500989,2.691420073,2.140134146,0.005757116,10.51151351,0.040027068,8.56E-05,0.156328279,0.000420534,6.25E-06
47,0,1.9,87,6.9,146.5,8.9,165.3,13.11,278.35,16.91,600.3,12745.5,774.3,1010.85,61.41,1303.85,0.02183908,0.275362319,0.012969283,0.213483146,12.60869565,0.593856655,9.775280899,21.23188406,16.46067416,1.289855072,23.95652174,1.128327645,18.57303371,0.150689655,0.089488055,1.473033708,3.199425287,40.34057971,31.2752809,0.194367816,2.450724638,0.115426621,4.097610922,67.4494382,1847.173913,1432.078652,112.2173913,5.285324232,11.61896552,113.5786517,0.705862069,0.419180887,14.98678161,188.9637681,1140.57,24216.45,1471.17,1920.615,116.679,2477.315,87943.95,5342.67,113434.95,8996.565,0.003165084,0.000149072,0.002453829,0.001879606,0.030939586,0.001457223,167093.505,10151.073,215526.405,17093.4735,782701.155,7.785460751,3509.630435,22.07603448,0.163525746,0.001028598,0.463684824,2.16E-05,128.1539326,213.2130435,1.341137931,2.691744016,0.016931422,0.028169249,0.000355627,2720.949438,10.04211604,28.47488506,0.126778387,0.359485987,0.001326743,1.67E-05,215.7994382,0.796443686,359.0311594,0.010054838,4.532649406,0.016728496,0.000211192,9881.342697,36.4687372,16439.84783,103.4087931,0.460405722,207.5476307,0.765989019,1.305501744,0.004818171,2.171997335,0.009670358,6.08E-05,0.027420747,0.000101201,1487132.195,18774.55112,69.29060068,31235.71087,196.4767069,0.874770871,394.3404983,1.455379136,2.480453313,0.009154525,4.126794936,0.018373679,0.000115573,0.052099418,0.000192282,2.43E-06
48,1,2.9,44,7.1,210.4,7.8,127.6,20.59,610.16,22.62,312.4,9257.6,343.2,1493.84,55.38,1641.12,0.065909091,0.408450704,0.01378327,0.371794872,6.197183099,0.209125475,5.641025641,29.63380282,26.97435897,1.098591549,17.97183099,0.606463878,16.35897436,0.467954545,0.097861217,2.63974359,13.86727273,85.93802817,78.22564103,0.514090909,3.185915493,0.107509506,1.484790875,40.05128205,1303.887324,1186.871795,48.33802817,1.631178707,33.95090909,191.5179487,1.258636364,0.263212928,37.29818182,231.143662,905.96,26847.04,995.28,4332.136,160.602,4759.248,65728.96,2436.72,72209.28,11651.952,0.009282971,0.000313256,0.008449883,0.001941306,0.052365475,0.001767086,190613.984,7066.488,209406.912,33790.6608,512685.888,4.305893536,3781.273239,98.45763636,0.085417448,0.002224119,1.953137004,4.41E-05,116.1487179,140.1802817,3.650045455,2.304080896,0.059994172,0.07240717,0.001190124,3441.928205,4.730418251,108.1647273,0.077751779,1.777855478,0.002443398,4.02E-05,555.4020513,0.76331749,670.3166197,0.01254631,11.01769592,0.015142184,0.000248885,8426.789744,11.58136882,10170.32113,264.8170909,0.190357804,167.1650415,0.22974348,4.352680653,0.005982112,5.253265045,0.003776191,9.83E-05,0.086345579,0.000118669,1486789.075,24437.69026,33.58596958,29493.93127,767.9695636,0.552037633,484.7786204,0.666256092,12.62277389,0.017348125,15.23446863,0.010950955,0.000285143,0.25040218,0.000344141,5.66E-06
49,1,2.9,56,7.7,257.7,8.2,162.4,22.33,747.33,23.78,431.2,14431.2,459.2,1984.29,63.14,2113.14,0.051785714,0.376623377,0.011253395,0.353658537,7.272727273,0.217306946,6.829268293,33.46753247,31.42682927,1.064935065,21.09090909,0.630190144,19.80487805,0.39875,0.086651145,2.723170732,13.34517857,97.05584416,91.13780488,0.424642857,3.088311688,0.092277842,1.673263485,52.58536585,1874.181818,1759.902439,59.63636364,1.781916958,35.43375,241.9865854,1.1275,0.245013582,37.73464286,274.4337662,1250.48,41850.48,1331.68,5754.441,183.106,6128.106,111120.24,3535.84,118335.84,16271.178,0.006725417,0.000200953,0.006315331,0.00146148,0.04592968,0.001372365,322248.696,10253.936,343173.936,47186.4162,911185.968,4.852464106,5435.127273,102.757875,0.081842876,0.001547342,1.733140074,2.61E-05,152.497561,172.9454545,3.26975,2.572062084,0.048628049,0.055148423,0.000820173,5103.717073,5.167559177,109.4304643,0.076852457,1.627460801,0.001647819,2.45E-05,701.7610976,0.710539387,795.8579221,0.010567213,11.83607856,0.011984135,0.000178229,13551.24878,13.72076057,15368.29091,290.55675,0.204056523,228.5587583,0.231417787,4.321189024,0.004375243,4.900602968,0.003441668,6.51E-05,0.072882257,7.38E-05,2642439.307,39298.62146,39.79020567,44568.04364,842.614575,0.591763915,662.8203991,0.671111581,12.53144817,0.012688203,14.21174861,0.009980839,0.0001887,0.211358546,0.000214002,3.18E-06
50,1,0.9,67,8.9,219,8.8,60.3,8.01,197.1,7.92,596.3,14673,589.6,1949.1,78.32,1927.2,0.013432836,0.101123596,0.004109589,0.102272727,7.528089888,0.305936073,7.613636364,24.60674157,24.88636364,0.988764045,6.775280899,0.275342466,6.852272727,0.119552239,0.036575342,0.910227273,2.941791045,22.14606742,22.39772727,0.118208955,0.88988764,0.036164384,2.72283105,67.76136364,1648.651685,1667.386364,66.24719101,2.692237443,29.09104478,221.4886364,1.168955224,0.357625571,28.7641791,216.5393258,536.67,13205.7,530.64,1754.19,70.488,1.73E+03,130589.7,5247.44,129122.4,17152.08,0.001509307,6.13E-05,0.001526459,0.000461752,0.011491318,0.000466999,117530.73,4722.696,116210.16,15436.872,1149189.36,2.450547945,1483.786517,26.1819403,0.030937356,0.000545901,0.33053832,6.89E-06,60.98522727,59.62247191,1.052059701,0.769918284,0.013585482,0.013281905,0.000171512,1500.647727,2.423013699,25.88776119,0.031288917,0.334294437,0.000539767,6.97E-06,199.3397727,0.321863014,194.8853933,0.004156289,2.51659857,0.004063414,5.25E-05,14839.73864,23.96091324,14508.13483,256.001194,0.309412619,187.3467824,0.302498589,3.305800543,0.005337695,3.231930236,0.003906232,6.89E-05,0.041734636,6.74E-05,1034270.424,13355.76477,21.56482192,13057.32135,230.4010746,0.278471357,168.6121042,0.27224873,2.975220488,0.004803926,2.908737213,0.003515609,6.20E-05,0.037561173,6.06E-05,7.83E-07
51,1,3.4,75,2.9,225.5,9.4,255,9.86,766.7,31.96,217.5,16912.5,705,653.95,27.26,2119.7,0.045333333,1.172413793,0.015077605,0.361702128,25.86206897,0.332594235,7.978723404,77.75862069,23.9893617,3.24137931,87.93103448,1.130820399,27.12765957,0.131466667,0.043725055,1.04893617,10.22266667,264.3793103,81.56382979,0.426133333,11.02068966,0.14172949,0.964523282,23.13829787,5831.896552,1799.202128,243.1034483,3.126385809,8.719333333,69.56914894,0.363466667,0.120886918,28.26266667,730.9310345,739.5,57502.5,2397,2223.43,92.684,7206.98,49046.25,2044.5,158977.5,6147.13,0.015632184,0.000201035,0.004822695,0.005199174,0.124724872,0.001604001,166757.25,6951.3,540523.5,20900.242,461034.75,3.279379157,19828.44828,29.64573333,0.389938069,0.000583001,3.525057471,6.93E-05,78.67021277,826.5517241,1.235786667,9.354365371,0.013985816,0.146942529,0.001662998,6117.287234,10.62971175,96.09306667,0.120300042,1.08751773,0.001889727,2.14E-05,236.5351064,0.411015521,2485.165517,0.004651602,28.12545855,0.048872238,0.000553104,5217.68617,9.066518847,54819.82759,81.96173333,0.10260886,620.4145268,1.078064072,0.927588652,0.001611826,9.745747126,0.012200816,1.82E-05,0.110295916,0.000191656,1567518.15,17740.13298,30.82616408,186387.4138,278.6698933,0.348870123,2109.409391,3.665417845,3.153801418,0.005480207,33.13554023,0.041482773,6.20E-05,0.375006114,0.00065163,7.37E-06
