,xrf_6p,C,F_R,F_R,T,P,C*F_R,C*F_M,C*T,C*P,F_R*F_M,F_R*T,F_R*P,F_M*T,F_M_P,T*P,C/F_R,C/F_M,C/T,C/P,F_R/F_M,F_R/T,F_R/P,T/F_M,T/P,P/F_M,C*F_R/F_M,C*F_R/T,C*F_R/P,C*F_M/F_R,C*F_M/T,C*F_M/P,C*T/F_R,C*T/F_M,C*T/P,C*P/F_R,C*P/F_M,C*P/T,F_R*F_M/T,F_R*F_M/P,F_R*T/F_M,F_R*T/P,F_R*P/F_M,F_R*P/T,F_M*T/F_R,F_M*T/P,F_M*P/F_R,F_M*P/T,T*P/F_R,T*P/F_M,C*F_R*F_M,C*F_R*T,C*F_R*P,C*F_M*T,C*F_M*P,C*T*P,F_R*F_M*T,F_R*F_M*P,F_R*T*P,F_M*T*P,C/F_R/F_M,C/F_R/T,C/F_R/P,C/F_M/T,C/F_M/P,C/T/P
29,1,0.6,74,5.8,211,7.5,44.4,3.48,126.6,4.5,429.2,15614,555,1223.8,43.5,1582.5,0.008108108,0.103448276,0.002843602,0.08,12.75862069,0.3507109,9.866666667,36.37931034,28.13333333,1.293103448,7.655172414,0.21042654,5.92,0.047027027,0.016492891,0.464,1.710810811,21.82758621,16.88,0.060810811,0.775862069,0.021327014,2.034123223,57.22666667,2692.068966,2081.866667,95.68965517,2.630331754,16.53783784,163.1733333,0.587837838,0.206161137,21.38513514,272.8448276,257.52,9368.4,333,734.28,26.1,9.50E+02,90561.2,3219,117105,9178.5,0.00139795,3.84E-05,0.001081081,0.000490276,0.013793103,0.000379147
30,0,1.9,59,4,150.8,8.1,112.1,7.6,286.52,15.39,236,8897.2,477.9,603.2,32.4,1221.48,0.03220339,0.475,0.012599469,0.234567901,14.75,0.391246684,7.283950617,37.7,18.61728395,2.025,28.025,0.7433687,13.83950617,0.128813559,0.050397878,0.938271605,4.856271186,71.63,35.37283951,0.260847458,3.8475,0.102055703,1.564986737,29.13580247,2224.3,1098.419753,119.475,3.169098143,10.22372881,74.4691358,0.549152542,0.214854111,20.70305085,305.37,448.4,16904.68,908.01,1146.08,61.56,2320.812,35588.8,1911.6,72067.32,4885.92,0.008050847,0.00021355,0.003975727,0.003149867,0.058641975,0.00155549
31,1,2.2,53,2.4,134.1,8.5,116.6,5.28,295.02,18.7,127.2,7107.3,450.5,321.84,20.4,1139.85,0.041509434,0.916666667,0.016405667,0.258823529,22.08333333,0.395227442,6.235294118,55.875,15.77647059,3.541666667,48.58333333,0.869500373,13.71764706,0.099622642,0.039373602,0.621176471,5.566415094,122.925,34.70823529,0.352830189,7.791666667,0.139448173,0.948545861,14.96470588,2961.375,836.1529412,187.7083333,3.359433259,6.07245283,37.86352941,0.38490566,0.15212528,21.50660377,474.9375,279.84,15636.06,991.1,708.048,44.88,2507.67,17057.52,1081.2,60412.05,2735.64,0.017295597,0.000309541,0.004883463,0.006835695,0.107843137,0.001930079
32,0,3.8,43,9.6,176.9,8.6,163.4,36.48,672.22,32.68,412.8,7606.7,369.8,1698.24,82.56,1521.34,0.088372093,0.395833333,0.021481063,0.441860465,4.479166667,0.243075184,5,18.42708333,20.56976744,0.895833333,17.02083333,0.923685698,19,0.848372093,0.206218202,4.241860465,15.63302326,70.02291667,78.16511628,0.76,3.404166667,0.18473714,2.333521764,48,792.3645833,884.5,38.52083333,2.09044658,39.49395349,197.4697674,1.92,0.466704353,35.38,158.4729167,1568.64,28905.46,1405.24,6453.312,313.728,5781.092,73024.32,3550.08,65417.62,14604.864,0.009205426,0.00049956,0.010275825,0.002237611,0.046027132,0.002497798
33,1,1.5,73,2,157.6,9.1,109.5,3,236.4,13.65,146,11504.8,664.3,315.2,18.2,1434.16,0.020547945,0.75,0.009517766,0.164835165,36.5,0.46319797,8.021978022,78.8,17.31868132,4.55,54.75,0.694796954,12.03296703,0.04109589,0.019035533,0.32967033,3.238356164,118.2,25.97802198,0.186986301,6.825,0.086611675,0.926395939,16.04395604,5752.4,1264.263736,332.15,4.215101523,4.317808219,34.63736264,0.249315068,0.115482234,19.6460274,717.08,219,17257.2,996.45,472.8,27.3,2151.24,23009.6,1328.6,104693.68,2868.32,0.010273973,0.00013038,0.002258016,0.004758883,0.082417582,0.001045908
34,1,3.2,58,4.1,216.5,7.9,185.6,13.12,692.8,25.28,237.8,12557,458.2,887.65,32.39,1710.35,0.055172414,0.780487805,0.0147806,0.405063291,14.14634146,0.267898383,7.341772152,52.80487805,27.40506329,1.926829268,45.26829268,0.857274827,23.49367089,0.226206897,0.060600462,1.660759494,11.94482759,168.9756098,87.69620253,0.435862069,6.165853659,0.116766744,1.098383372,30.10126582,3062.682927,1589.493671,111.7560976,2.116397229,15.30431034,112.3607595,0.558448276,0.14960739,29.4887931,417.1585366,760.96,40182.4,1466.24,2840.48,103.648,5473.12,51483.7,1878.62,99200.3,7012.435,0.013456686,0.000254838,0.00698385,0.003605025,0.098795925,0.001870962
35,0,2.6,71,9.7,189.2,9,184.6,25.22,491.92,23.4,688.7,13433.2,639,1835.24,87.3,1702.8,0.036619718,0.268041237,0.013742072,0.288888889,7.319587629,0.375264271,7.888888889,19.50515464,21.02222222,0.927835052,19.03092784,0.975687104,20.51111111,0.355211268,0.133298097,2.802222222,6.928450704,50.71340206,54.65777778,0.329577465,2.412371134,0.123678647,3.640063425,76.52222222,1384.865979,1492.577778,65.87628866,3.377378436,25.8484507,203.9155556,1.229577465,0.46141649,23.98309859,175.5463918,1790.62,34926.32,1661.4,4771.624,226.98,4427.28,130302.04,6198.3,120898.8,16517.16,0.003775229,0.00019355,0.004068858,0.001416708,0.02978236,0.001526897
36,1,3.1,53,5.6,198.7,9,164.3,17.36,615.97,27.9,296.8,10531.1,477,1112.72,50.4,1788.3,0.058490566,0.553571429,0.015601409,0.344444444,9.464285714,0.26673377,5.888888889,35.48214286,22.07777778,1.607142857,29.33928571,0.826874685,18.25555556,0.32754717,0.087367891,1.928888889,11.62207547,109.9946429,68.44111111,0.526415094,4.982142857,0.140412682,1.493709109,32.97777778,1880.553571,1170.122222,85.17857143,2.400603926,20.99471698,123.6355556,0.950943396,0.253648717,33.74150943,319.3392857,920.08,32646.41,1478.7,3449.432,156.24,5543.73,58974.16,2671.2,94779.9,10014.48,0.010444744,0.000294366,0.006498952,0.002785966,0.061507937,0.00173349
37,0,4.5,50,8.3,193.6,9.1,225,37.35,871.2,40.95,415,9680,455,1606.88,75.53,1761.76,0.09,0.542168675,0.023243802,0.494505495,6.024096386,0.258264463,5.494505495,23.3253012,21.27472527,1.096385542,27.10843373,1.162190083,24.72527473,0.747,0.192923554,4.104395604,17.424,104.9638554,95.73626374,0.819,4.93373494,0.211518595,2.143595041,45.6043956,1166.26506,1063.736264,54.81927711,2.350206612,32.1376,176.5802198,1.5106,0.390134298,35.2352,212.260241,1867.5,43560,2047.5,7230.96,339.885,7927.92,80344,3776.5,88088,14622.608,0.010843373,0.000464876,0.00989011,0.002800458,0.059578975,0.002554264
38,1,2.7,88,5.3,183.9,8.3,237.6,14.31,496.53,22.41,466.4,16183.2,730.4,974.67,43.99,1526.37,0.030681818,0.509433962,0.014681892,0.325301205,16.60377358,0.478520935,10.60240964,34.69811321,22.15662651,1.566037736,44.83018868,1.292006525,28.62650602,0.162613636,0.077814029,1.724096386,5.642386364,93.68490566,59.82289157,0.254659091,4.228301887,0.121859706,2.536160957,56.19277108,3053.433962,1949.783133,137.8113208,3.971723763,11.07579545,117.4301205,0.499886364,0.23920609,17.34511364,287.9943396,1259.28,43694.64,1972.08,2631.609,118.773,4121.199,85770.96,3871.12,134320.56,8089.761,0.005789022,0.00016684,0.003696605,0.002770168,0.061377586,0.001768903
